Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51648276,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Tokarczuk, Olga","Antonia Lloyd-Jones, Beata Poźniak","=""""","=""""",0,3.96,Penguin Audio,Audible Audio,12,2019,2009,,2024/05/11,currently-reading,currently-reading (#12),currently-reading,,,,1,0
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,"=""0312270828""","=""9780312270827""",4,3.71,Picador,Paperback,561,1997,1988,2024/05/11,2024/04/17,,,read,,,,1,0
75665931,The MANIAC,Benjamín Labatut,"Labatut, Benjamín",,"=""0593654471""","=""9780593654477""",5,4.35,Penguin Press,Hardcover,368,2023,2023,2024/04/17,2024/04/14,,,read,,,,1,0
54589752,Out of Thin Air: Running Wisdom and Magic from Above the Clouds in Ethiopia,Michael  Crawley,"Crawley, Michael",,"=""1472975324""","=""9781472975324""",0,4.20,Bloomsbury Sport,Hardcover,272,2021,,,2024/04/14,to-read,to-read (#223),to-read,,,,0,0
211014409,Stakkel,Matias Faldbakken,"Faldbakken, Matias",,"=""8743406432""","=""9788743406433""",0,3.74,Gutkind,Paperback,192,2024,2022,,2024/04/14,currently-reading,currently-reading (#10),currently-reading,,,,1,0
62686803,Stakkar,Matias Faldbakken,"Faldbakken, Matias",,"=""8249525558""","=""9788249525553""",0,3.74,Forlaget Oktober,Hardcover,184,2022,2022,,2024/04/14,currently-reading,currently-reading (#11),currently-reading,,,,1,0
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.25,Back Bay Books,Paperback,1088,2005,1996,,2024/04/08,to-read,to-read (#222),to-read,,,,0,0
60882951,Le Mage du Kremlin,Giuliano da Empoli,"Empoli, Giuliano da",,"=""2072958164""","=""9782072958168""",0,4.13,Gallimard,Paperback,288,2022,2022,,2024/04/01,to-read,to-read (#221),to-read,,,,0,0
62069739,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""""","=""""",4,4.14,New York Review Books,Kindle Edition,193,2022,,2024/03/28,2024/03/26,,,read,,,,1,0
41758433,Agile Technical Practices Distilled,Pedro Moreira Santos,"Santos, Pedro Moreira","Marco Consolaro, Alessandro Di Gioia","=""""","=""""",0,4.40,,Paperback,,,,,2024/03/13,to-read,to-read (#220),to-read,,,,0,0
