Author,Countries
A.G. Riddle,['United States of America']
Amina Elmi,"['Somalia','Denmark']"
B.V. Larson,['United States of America']
Brant Cooper,['United States of America']
Christian Ørsted,['Denmark']
Christina Wodtke,['United States of America']
Daniel S. Vacanti,['United States of America']
David A. Leeming,['United States of America']
Dennis E. Taylor,['Canada']
Helen Beal,['United Kingdom']
Henrik Kniberg,['Sweden']
Iben Krarup Høgsberg,['Denmark']
Ida Holmegaard,['Denmark']
J.K. Rowling,['United Kingdom']
Jeff Patton,['United States of America']
Joe Soll,['United States of America']
Jonathan Renshaw,['United States of America']
Jonathan Smart,['United Kingdom']
Joseph DiBella,['United States of America']
Karoline Stjernfelt,['Denmark']
Karyl McBride,['United States of America']
Katinka Agger,['Denmark']
Kerry Patterson,['United States of America']
Kim Malone Scott,['United States of America']
Kristin Leer,['Norway']
Kristin Vego,['Denmark']
Kurt Vonnegut Jr.,['United States of America']
Kyle Simpson,['United States of America']
Lars Kepler,['Denmark']
Laszlo Bock,['United States of America']
Lotte Palsteen,['Denmark']
Mark Seemann,['Denmark']
Matthew Mather,['Canada']
Michael C. Feathers,['United States of America']
Michael Lopp,['United States of America']
Michael T. Nygard,['United States of America']
Mike Rother,['United States of America']
Morten Münster,['Denmark']
N.K. Jemisin,['United States of America']
Nick Tune,['United Kingdom']
Niels Overgaard,['Denmark']
Paul Antony Jones,['United Kingdom']
Peter Clines,['United States of America']
Peter Sestoft,['Denmark']
Pierre Henri Kuaté,['South Africa']
Richard Sheridan,['United States of America']
Roy Osherove,['Israel']
S.S. Taylor,['United States of America']
Sebastian Lynggard,['Denmark']
Shelby Van Pelt,['United States of America']
Sherrie Eldridge,['United States of America']
Simon Wardley,['United Kingdom']
Thomas Clemen,['Denmark']
Vaughn Heppner,['Canada']
Vaughn Vernon,['United States of America']
Vladik Khononov,['Israel']
Wildbow,['Canada']
William Hertling,['United States of America']
Robert Wilson,['United Kingdom']
