,Author,Average Rating,Books,Book Count
0,A.G. Riddle,3.8766666666666665,"['Departure', 'The Atlantis Plague (The Origin Mystery, #2)', 'The Atlantis Gene (The Origin Mystery, #1)']",3
1,Adam Lashinsky,3.83,"[""Inside Apple -- From Steve Jobs Down to the Janitor: How America's Most Successful—and Most Secretive—Big Company Really Works""]",1
2,Adrian Tchaikovsky,4.3,"['Children of Time (Children of Time, #1)']",1
3,Agatha Christie,4.28,['And Then There Were None'],1
4,Alan Moore,4.38,['Watchmen'],1
5,Albert Camus,4.02,"['The Plague', 'The Stranger']",2
6,Alberto Brandolini,3.85,['Introducing EventStorming'],1
7,Aldous Huxley,3.99,['Brave New World'],1
8,Alexandre Dumas,4.3,['The Count of Monte Cristo'],1
9,Amina Elmi,4.13,['Barbar: [Tavshedens objekt]'],1
10,Amor Towles,3.9050000000000002,"['You Have Arrived at Your Destination', 'A Gentleman in Moscow']",2
11,Amy C. Edmondson,3.99,"['The Fearless Organization: Creating Psychological Safety in the Workplace for Learning, Innovation, and Growth']",1
12,Andy Weir,4.0375,"['Project Hail Mary', 'Randomize', 'Artemis', 'The Martian']",4
13,Ann Leckie,3.99,"['Ancillary Justice (Imperial Radch, #1)']",1
14,Anne Rice,4.02,"['Interview with the Vampire (The Vampire Chronicles, #1)']",1
15,Anthony Doerr,4.32,['All the Light We Cannot See'],1
16,Antoine de Saint-Exupéry,4.32,['The Little Prince'],1
17,Arthur C. Clarke,4.145,"['Rendezvous with Rama (Rama, #1)', '2001: A Space Odyssey (Space Odyssey, #1)']",2
18,Astrid Lindgren,4.323333333333333,"[""Ronia, the Robber's Daughter"", 'The Brothers Lionheart', 'Alle vi børn i Bulderby']",3
19,Atul Gawande,4.04,['The Checklist Manifesto: How to Get Things Right'],1
20,B.V. Larson,3.768,"['Rebellion (Star Force, #3)', 'Extinction (Star Force, #2)', 'The Savant (Imperium: Mech, #2)', 'The Parent (Imperium: Mech, #1)', 'Swarm (Star Force, #1)']",5
21,Becky Chambers,4.22,"['Record of a Spaceborn Few (Wayfarers, #3)', 'The Long Way to a Small, Angry Planet (Wayfarers, #1)', 'A Closed and Common Orbit (Wayfarers, #2)']",3
22,Belinda Bauer,3.81,['Snap'],1
23,Ben H. Winters,3.77,"['The Last Policeman (The Last Policeman, #1)']",1
24,Benjamín Labatut,4.244999999999999,"['The MANIAC', 'When We Cease to Understand the World']",2
25,Bent Flyvbjerg,4.32,"['How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between']",1
26,Betty Smith,4.29,['A Tree Grows in Brooklyn'],1
27,Bill Bryson,4.135,"['A Walk in the Woods: Rediscovering America on the Appalachian Trail', 'A Short History of Nearly Everything']",2
28,Blake Crouch,4.145,"['Dark Matter', 'Recursion']",2
29,Bram Stoker,4.01,['Dracula'],1
30,Brandon Sanderson,4.503333333333334,"['Starsight (Skyward, #2)', 'Skyward (Skyward, #1)', 'The Way of Kings (The Stormlight Archive, #1)']",3
