Author,Countries
A.G. Riddle,['United States of America']
Adam Lashinsky,['United States of America']
Adrian Tchaikovsky,['United Kingdom']
Agatha Christie,['United Kingdom']
Alan Moore,['United Kingdom']
Albert Camus,['France']
Alberto Brandolini,['Italy']
Aldous Huxley,['United Kingdom']
Alexandre Dumas,['France']
Amina Elmi,"['Somalia', 'Denmark']"
Amor Towles,['United States of America']
Amy C. Edmondson,['United States of America']
Andy Weir,['United States of America']
Ann Leckie,['United States of America']
Anne Rice,['United States of America']
Anthony Doerr,['United States of America']
Antoine de Saint-Exupéry,['France']
Arthur C. Clarke,['United Kingdom']
Astrid Lindgren,['Sweden']
Atul Gawande,['United States of America']
B.V. Larson,['United States of America']
Becky Chambers,['United States of America']
Belinda Bauer,['United Kingdom']
Ben H. Winters,['United States of America']
Benjamín Labatut,['Netherlands']
Bent Flyvbjerg,['Denmark']
Betty Smith,['United States of America']
Bill Bryson,['United States of America']
Blake Crouch,['United States of America']
Bram Stoker,['Republic of Ireland']
Brandon Sanderson,['United States of America']
Brant Cooper,['United States of America']
Brian Christian,['United States of America']
Brian K. Vaughan,['United States of America']
Bryan O'Sullivan,['Republic of Ireland']
C.S. Lewis,['United Kingdom']
Camille Fournier,['France']
Charles Duhigg,['United States of America']
Charles Stross,['United Kingdom']
Chelsea Cain,['United States of America']
China Miéville,['United Kingdom']
Chris Kraus,"['United States of America', 'Germany']"
Christian Jungersen,['Denmark']
Christian Ørsted,['Denmark']
Christina Wodtke,['United States of America']
Christopher McDougall,['United States of America']
Chuck Dixon,['United States of America']
Clay Shirky,['United States of America']
Conn Iggulden,['United Kingdom']
Cory Doctorow,['Canada']
Dan Ariely,"['Israel', 'United States of America']"
Dan Brown,['United States of America']
Dan Simmons,['United States of America']
Daniel H. Pink,['United States of America']
Daniel H. Wilson,['United States of America']
Daniel Kahneman,"['Israel', 'United States of America']"
Daniel S. Vacanti,['United States of America']
Daniel Suarez,['United States of America']
David A. Leeming,['United States of America']
David Allen,['United States of America']
David B.,['France']
David Baldacci,['United States of America']
David Epstein,"['United Kingdom', 'United States of America', 'Australia']"
David Graeber,['United States of America']
David Lagercrantz,['Sweden']
David Petersen,['United States of America']
Dennis E. Taylor,['Canada']
Dinaw Mengestu,['Ethiopia']
Donato Carrisi,['Italy']
Donella H. Meadows,['United States of America']
Dorthe Nors,['Denmark']
Douglas Adams,['United Kingdom']
Douglas Coupland,['Canada']
Edgar H. Schein,"['Switzerland', 'United States of America']"
Edward Snowden,"['United States of America', 'Russia', 'Canada']"
Eliyahu M. Goldratt,['Israel']
Elly Griffiths,['United Kingdom']
Emily Brontë,['United Kingdom']
Emily St. John Mandel,['Canada']
