Author,Countries
A.G. Riddle,['United States of America']
Amina Elmi,"['Somalia','Denmark']"
B.V. Larson,['United States of America']
Brant Cooper,['United States of America']
Christian Ørsted,['Denmark']
Christina Wodtke,['United States of America']
Daniel S. Vacanti,['United States of America']
David A. Leeming,['United States of America']
Dennis E. Taylor,['Canada']
Helen Beal,['United Kingdom']
Henrik Kniberg,['Sweden']
Iben Krarup Høgsberg,['Denmark']
Ida Holmegaard,['Denmark']
J.K. Rowling,['United Kingdom']
Jeff Patton,['United States of America']
Joe Soll,['United States of America']
Jonathan Renshaw,['United States of America']
Jonathan Smart,['United Kingdom']
Joseph DiBella,['United States of America']
Karoline Stjernfelt,['Denmark']
Karyl McBride,['United States of America']
Katinka Agger,['Denmark']
Kerry Patterson,['United States of America']
Kim Malone Scott,['United States of America']
Kristin Leer,['Norway']
Kim Leine,"['Norway']"
Kristin Vego,['Denmark']
Kurt Vonnegut Jr.,['United States of America']
Kyle Simpson,['United States of America']
Lars Kepler,['Denmark']
Laszlo Bock,['United States of America']
Lotte Palsteen,['Denmark']
Mark Seemann,['Denmark']
Matthew Mather,['Canada']
Michael C. Feathers,['United States of America']
Michael Lopp,['United States of America']
Michael T. Nygard,['United States of America']
Mike Rother,['United States of America']
Morten Münster,['Denmark']
N.K. Jemisin,['United States of America']
Nick Tune,['United Kingdom']
Niels Overgaard,['Denmark']
Paul Antony Jones,['United Kingdom']
Peter Clines,['United States of America']
Peter Sestoft,['Denmark']
Pierre Henri Kuaté,['South Africa']
Richard Sheridan,['United States of America']
Roy Osherove,['Israel']
S.S. Taylor,['United States of America']
Sebastian Lynggard,['Denmark']
Shelby Van Pelt,['United States of America']
Sherrie Eldridge,['United States of America']
Simon Wardley,['United Kingdom']
Thomas Clemen,['Denmark']
Vaughn Heppner,['Canada']
Vaughn Vernon,['United States of America']
Vladik Khononov,['Israel']
Wildbow,['Canada']
William Hertling,['United States of America']
Robert Wilson,['United Kingdom']
Dinaw Mengestu,['Ethiopia']
James Joyce,['Ireland']
Maaza Mengiste,['Ethiopia']
Mark Lawrence,['United States of America']
Martin Jensen,['Denmark']
Michael Scott,['Ireland']
Michael White,['United Kingdom']
Richard Adams,['United Kingdom']
Peter Watts,['Canada']
Richard Phillips,['United States of America']
Seneca,['Italy']
Alexandre Dumas,['France']
Daniel Suarez,['United States of America']
David Allen,['United States of America']
David Petersen,['United States of America']
Isaac Asimov,['United States of America']
Steve Martin, ['United States of America']
Thomas Mann,['Germany']
Jan Guillou,['Sweden']
James Crumley, ['United States of America']
Eric Evans, ['United States of America']
Dan Brown, ['United States of America']
Douglas Adams,['United Kingdom']
Jack Campbell, ['United States of America']
Mary Wollstonecraft Shelley, ['United Kingdom']
Paul Tremblay, ['United States of America']
Robert Jordan, ['United States of America']
Sam Newman, ['United Kingdom']
Stephen King, ['United States of America']
William Gibson, ['United States of America']
Vladimir Nabokov, ['Russia']
Belinda Bauer, ['United Kingdom']
Benjamín Labatut,['Kingdom of the Netherlands']
Bram Stoker, ['Ireland']
Andy Weir, ['United States of America']
Alan Moore, ['United Kingdom']
Agatha Christie, ['United Kingdom']
Cory Doctorow, ['Canada']
Betty Smith, ['United States of America']
Nassim Nicholas Taleb,"['Lebanon','United States of America']"
Franz Kafka,"['Czech Republic']"
Ágota Kristóf,"['Hungary','Switzerland']"
Bill Bryson,"['United States of America']"
Kazuo Ishiguro,"['Japan','United Kingdom']"
Milan Kundera,"['Czech Republic']"
John le Carré,"['United Kingdom']"
Ken Follett,"['Wales']"
Lee Child,"['United Kingdom']"
Emily St. John Mandel,"['Canada']"
