Author,Gender
A.G. Riddle,M
Adam Lashinsky,M
Adrian Tchaikovsky,M
Agatha Christie,F
Alan Moore,M
Albert Camus,M
Alberto Brandolini,M
Aldous Huxley,M
Alexandre Dumas,M
Amina Elmi,F
Amor Towles,M
Amy C. Edmondson,F
Andy Weir,M
Ann Leckie,F
Anne Rice,F
Anthony Doerr,M
Antoine de Saint-Exupéry,M
Arthur C. Clarke,M
Astrid Lindgren,F
Atul Gawande,M
B.V. Larson,M
Becky Chambers,F
Belinda Bauer,F
Ben H. Winters,M
Benjamín Labatut,M
Bent Flyvbjerg,M
Betty Smith,F
Bill Bryson,M
Blake Crouch,M
Bram Stoker,M
Brandon Sanderson,M
Brant Cooper,M
Brian Christian,M
Brian K. Vaughan,M
Bryan O'Sullivan,M
C.S. Lewis,M
Camille Fournier,F
Charles Duhigg,M
Charles Stross,M
Chelsea Cain,F
China Miéville,M
Chris Kraus,F
Christian Jungersen,M
Christian Ørsted,M
Christina Wodtke,F
Christopher McDougall,M
Chuck Dixon,M
Clay Shirky,M
Conn Iggulden,M
Cory Doctorow,M
Dan Ariely,M
Dan Brown,M
Dan Simmons,M
Daniel H. Pink,M
Daniel H. Wilson,M
Daniel Kahneman,M
Daniel S. Vacanti,M
Daniel Suarez,M
David A. Leeming,M
David Allen,M
David B.,M
David Baldacci,M
David Epstein,M
David Graeber,M
David Lagercrantz,M
David Petersen,M
Dennis E. Taylor,M
Dinaw Mengestu,M
Donato Carrisi,M
Donella H. Meadows,F
Dorthe Nors,F
Douglas Adams,M
Douglas Coupland,M
Edgar H. Schein,M
Edward Snowden,M
Eliyahu M. Goldratt,M
Elly Griffiths,F
Emily Brontë,F
Emily St. John Mandel,F
Eric Evans,M
Eric Ries,M
Erlend Loe,M
Ernest Cline,M
Ernest Hemingway,M
Euripides,M
F. Scott Fitzgerald,M
Frank Herbert,M
Franz Kafka,M
Frederick P. Brooks Jr.,M
Fredrik Backman,M
Fyodor Dostoevsky,M
Gabriel García Márquez,M
Gene Kim,M
Geoffrey B. West,M
George Lakoff,M
George Orwell,M
George R.R. Martin,M
Gillian Flynn,F
Glenn Bech,M
Glenn Cooper,M
Glenn Greenwald,M
Greg Egan,M
Guillermo del Toro,M
Halfdan Rasmussen,M
Hannu Rajaniemi,M
Hans Rosling,M
Hans Scherfig,M
Haruki Murakami,M
Helen Beal,F
Helle Helle,F
Henrik Kniberg,M
Henrik Nordbrandt,M
Henrik Pontoppidan,M
Henry David Thoreau,M
Herman Melville,M
Hugh Howey,M
Håkan Nesser,M
Iain Banks,M
Iain M. Banks,M
Ian Rankin,M
Ian Tregillis,M
Iben Krarup Høgsberg,F
Ida Holmegaard,F
Ijeoma Oluo,F
Ildefonso Falcones,M
Inger Christensen,F
Isaac Asimov,M
Isabel Wilkerson,F
J.K. Rowling,F
J.R.R. Tolkien,M
Jack Campbell,M
James Crumley,M
James Joyce,M
James P. Womack,M
Jan Guillou,M
Jeff Patton,M
Jeff Sutherland,M
Jeff VanderMeer,M
Jennifer Foehner Wells,F
Jim Benson,M
Jim Butcher,M
Jo Nesbø,M
Joe Abercrombie,M
Joe Soll,M
Johan Harstad,M
Johann Hari,M
Johannes V. Jensen,M
John Ousterhout,M
John Scalzi,M
John Steinbeck,M
John Twelve Hawks,M
John Verdon,M
John le Carré,M
Johnny Cash,M
Jonathan Franzen,M
Jonathan Renshaw,M
Jonathan Safran Foer,M
Jonathan Smart,M
Joseph DiBella,M
Jostein Gaarder,M
Jussi Adler-Olsen,M
Karl Ove Knausgård,M
Karoline Stjernfelt,F
Karyl McBride,F
Katinka Agger,F
Kazuo Ishiguro,M
Ken Follett,M
Kent Beck,M
Kent Haruf,M
Kerry Patterson,F
Khaled Hosseini,M
Kim Blæsbjerg,M
Kim Faber,M
Kim Leine,M
Kim Malone Scott,F
Kim Stanley Robinson,M
Knud Romer,M
Knut Hamsun,M
Kristian Bang Foss,M
Kristin Leer,F
Kristin Vego,F
Kurt Vonnegut Jr.,M
Kyle Simpson,M
Larry Niven,M
Lars Kepler,M
Lars Tvede,M
Laszlo Bock,M
Lee Child,M
Leif Davidsen,M
Leigh Bardugo,M
Leo Tolstoy,M
Leonard Richardson,M
Linda Babcock,F
Liu Cixin,M
Lotte Hammer,F
Lotte Palsteen,F
Maaza Mengiste,F
Madeline Miller,F
Mai Jia,M
Malcolm Gladwell,M
Manu Sareen,M
Marcel Proust,M
Marcus Aurelius,M
Maren Uthaug,F
Margaret Atwood,F
Marianne Iben Hansen,F
Marjane Satrapi,F
Mark Allen Smith,M
Mark Lawrence,M
Mark Schwartz,M
Mark Seemann,M
Marko Kloos,M
Martha Wells,F
Martin Jensen,M
Mary Doria Russell,F
Mary Wollstonecraft Shelley,F
Matias Faldbakken,M
Matt Ruff,M
Matthew Mather,M
Matthew Skelton,M
Max Barry,M
Max Brooks,M
Michael C. Feathers,M
Michael Chabon,M
Michael Crichton,M
Michael Katz Krefeld,M
Michael Lopp,M
Michael Scott,M
Michael T. Nygard,M
Michael White,M
Michel Houellebecq,M
Michelle Obama,F
Mik Kersten,M
Mike Ashley,M
Mike Rother,M
Milan Kundera,M
Mira Grant,F
Mitch Albom,M
Mohamed Mbougar Sarr,M
Morten Münster,M
N.K. Jemisin,F
Nassim Nicholas Taleb,M
Neal Stephenson,M
Nega Mezlekia,M
Neil Gaiman,M
Neil deGrasse Tyson,M
Nick Harkaway,M
Nick Hornby,M
Nick Tune,M
Nicole Forsgren,F
Niels Overgaard,M
Niviaq Korneliussen,F
Nnedi Okorafor,F
Octavia E. Butler,F
Olga Tokarczuk,F
Oliver Burkeman,M
Oliver Sacks,M
Orson Scott Card,M
Paolo Bacigalupi,M
Patricia Cornwell,F
Patrick Lencioni,M
Patrick Rothfuss,M
Patrick Süskind,M
Paul Antony Jones,M
Paul Beatty,M
Paul Tremblay,M
Paulo Coelho,M
Peter Clines,M
Peter F. Hamilton,M
Peter Høeg,M
Peter Sestoft,M
Peter Watts,M
Peter Wohlleben,M
Philip Pullman,M
Phoebe Robinson,F
Pierce Brown,M
Pierre Henri Kuaté,M
Ray Bradbury,M
Raymond E. Feist,M
Richard Adams,M
Richard Phillips,M
Richard Sheridan,M
Robert C. Martin,M
Robert Jordan,M
Robert Kirkman,M
Robert M. Pirsig,M
Robert Wilson,M
Robin DiAngelo,F
Robin Hobb,F
Roger Fisher,M
Roy Osherove,M
Ryk E. Spoor,M
S.S. Taylor,F
Sakyong Mipham,M
Sally Rooney,F
Salman Rushdie,M
Sam Kean,M
Sam Newman,M
Scott Chacon,M
Scott Jurek,M
Sebastian Klein,M
Sebastian Lynggard,M
Seneca,M
Seth Godin,M
Shelby Van Pelt,M
Sherrie Eldridge,F
Sherry Turkle,F
Sigrid Undset,F
Simon Sinek,M
Simon Toyne,M
Simon Wardley,M
Simone de Beauvoir,F
Siri Pettersen,F
Sissel-Jo Gazan,F
Sofie Hagen,F
Stefan Ahnhem,M
Stefan Zweig,M
Stephen King,M
Stephen Moss,M
Stephenie Meyer,M
Steve Freeman,M
Steve Martin,M
Steve Niles,M
Steven D. Levitt,M
Stieg Larsson,M
Stine Pilgaard,F
Stuart Russell,M
Susan Cain,F
Suzanne Collins,F
Svend Brinkmann,M
Søren Sveistrup,M
Tamsyn Muir,F
Tara Westover,F
Tarjei Vesaas,M
Taylor Jenkins Reid,F
Terry Goodkind,M
Terry Mancour,M
Terry Pratchett,M
Thich Nhat Hanh,M
Thomas Clemen,M
Thomas Enger,M
Thomas Korsgaard,M
Thomas Mann,M
Toni Morrison,F
Tove Alsterdal,F
Trudi Canavan,F
Umberto Eco,M
Ursula K. Le Guin,F
V.E. Schwab,F
Vaughn Heppner,M
Vaughn Vernon,M
Vernor Vinge,M
Veronica Roth,F
Viktor E. Frankl,M
Virginia Woolf,F
Vladik Khononov,M
Vladimir Nabokov,M
Walter Isaacson,M
Wes McKinney,M
Wildbow,M
William Gibson,M
William Golding,M
William Hertling,M
William Peter Blatty,M
Yann Martel,M
Yuval Noah Harari,M
bell hooks,F
Ágota Kristóf,F
Édouard Louis,M
